표준버스정류장ID,버스정류장ARS번호,역명
101000053,02152,퇴계로3가.한옥마을.한국의집
101000054,02153,충무로역2번출구.대한극장앞
101000055,02154,충무로역8번출구.대한극장앞
101000056,02155,초동
101000057,02156,을지로입구.로얄호텔
101000058,02157,을지로입구.시청입구
101000059,02158,을지로2가.기업은행본점.서울노동청
101000060,02159,을지로2가.파인에빈뉴
101000061,02160,을지로3가
101000062,02161,을지로3가
101000063,02162,을지로4가
101000064,02163,을지로4가.베스트웨스턴국도
101000065,02164,중구청앞.덕수중학교
101000066,02165,을지로5가
101000067,02166,을지로5가.중부시장
101000068,02167,방산시장.훈련원종합체육관
101000069,02168,을지로5가.훈련원종합체육관
101000070,02169,을지로6가.국립중앙의료원
101000071,02170,광희동
101000072,02171,광희동
101000073,02172,을지로6가.국립중앙의료원
101000074,02173,동대문역사문화공원
101000075,02174,동대문역사문화공원
101000077,02177,충무아트센터.스포츠센터.중부소방서
101000078,02178,충무아트센터.스포츠센터.중부소방서
101000079,02179,성동공업고등학교(무궁화회관)
101000080,02180,성동공업고등학교앞
101000081,02181,신당역.중앙시장앞
101000082,02182,신당역.중앙시장앞
101000083,02183,성동고등학교
101000084,02184,성동고등학교
101000085,02187,신당동떡볶이타운.중구여성플라자
101000086,02188,신당동떡볶이타운.중구여성플라자
101000087,02189,신당동.청구역
101000088,02190,신당동.청구역
101000089,02191,약수역2번출구.가온도서관
101000090,02192,약수역3번출구.약수하이츠
101000091,02193,약수역4번출구.금호터널입구
101000092,02194,약수역5번출구.금호터널입구
101000093,02195,약수역8번출구.신당사회복지관
101000094,02196,약수역7번출구.약수동주민센터
101000095,02197,송도병원앞
101000096,02198,송도병원앞
101000097,02201,장충체육관앞
101000098,02202,장충체육관앞
101000099,02203,장충동.동국대입구
101000100,02204,장충동.동국대입구
101000101,02205,퇴계로6가
101000102,02206,퇴계로6가
101000103,02207,퇴계로5가.제일병원
101000104,02208,퇴계로5가
101000105,02209,국립극장.반얀트리호텔
101000106,02210,국립극장.반얀트리호텔
101000107,02211,청구역
101000108,02212,청구역
101000109,02213,동화동
101000110,02214,동화동
101000111,02215,백범광장
101000113,02218,남대문경찰서
101000114,02219,남대문시장앞.이회영활동터
101000115,02220,남산케이블카.남산산책로입구
101000116,02221,숭의여대
101000117,02222,동대입구역.장충동
101000119,02224,청계1가.광교
101000120,02225,청계2가.삼일교
101000121,02226,청계4가.배오개다리
101000122,02227,청계5가.방산시장
101000123,02228,청계6가.평화시장
101000124,02229,청계7가.동평화.청평화시장
101000125,02230,청계8가.영도교
101000128,02233,신한은행본점
101000130,02235,동대문역사문화공원
101000131,02236,버티고개
101000132,02237,버티고개
